date_sent,slot,item_type,track,title,source_url,arxiv_or_doi,topic_tags,quality_label
2026-06-15,2,paper,mean_audio,NavWAM: A Navigation World Action Model for Goal-Conditioned Visual Navigation,https://arxiv.org/abs/2606.13494v1,2606.13494v1,text-to-audio/music|evaluation,新
2026-06-16,1,paper,mean_audio,"FoleyGenEx: Unified Video-to-Audio Generation with Multi-Modal Control, Temporal Alignment, and Semantic Precision",https://arxiv.org/abs/2606.14049v1,2606.14049v1,text-to-audio/music,新
2026-06-16,2,paper,mean_audio,A Surface-based Multimodal Framework for Multitask Analysis in Alzheimer's Disease,https://arxiv.org/abs/2606.15692v1,2606.15692v1,text-to-audio/music,新
2026-06-17,1,paper,mean_audio,TuneJury: An Open Metric for Improving Music Generation Preference Alignment,https://arxiv.org/abs/2606.17006v1,2606.17006v1,text-to-audio/music,新且重要
2026-06-17,2,paper,mean_audio,STAR: SpatioTemporal Adaptive Reward Allocation for Text-to-Image RL Post-Training,https://arxiv.org/abs/2606.17979v1,2606.17979v1,text-to-audio/music|flow/diffusion,新且重要
2026-06-18,1,paper,mean_audio,ELSA: Acoustic Event-Level Semantic Alignment for Fine-Grained Reference-Free Text-to-Audio Evaluation,https://arxiv.org/abs/2606.17404v1,2606.17404v1,text-to-audio/music|evaluation,新
2026-06-18,2,paper,mean_audio,NoiseTilt: Noise-Tilted Reverse Kernels for Diffusion Reward Alignment,https://arxiv.org/abs/2606.18066v1,2606.18066v1,text-to-audio/music,新
2026-06-19,1,paper,mean_audio,Moebius: 0.2B Lightweight Image Inpainting Framework with 10B-Level Performance,https://arxiv.org/abs/2606.19195v1,2606.19195v1,text-to-audio/music,新
2026-06-19,2,paper,mean_audio,The Reward Was in Your Data All Along: Correcting Flow Matching with Discriminator-Guided RL,https://arxiv.org/abs/2606.19162v1,2606.19162v1,text-to-audio/music|flow/diffusion,新
2026-06-20,1,paper,mean_audio,Hybrid Diffusion Transformer for Instruction-Guided Audio Editing via Rectified Flow,https://arxiv.org/abs/2606.20101v1,2606.20101v1,text-to-audio/music|flow/diffusion,新且重要
2026-06-20,2,paper,mean_audio,How Transparent is DiffusionGemma?,https://arxiv.org/abs/2606.20560v1,2606.20560v1,text-to-audio/music|flow/diffusion,新
2026-06-20,1,paper,mean_audio,JanusMesh: Fast and Zero-Shot 3D Visual Illusion Generation via Cross-Space Denoising,https://arxiv.org/abs/2606.20563v1,2606.20563v1,text-to-audio/music,新
2026-06-20,2,paper,mean_audio,"Site-Specific MIMO Channel Generation via Diffusion and Flow Matching: Fidelity, Efficiency, and Downstream Utility",https://arxiv.org/abs/2606.20098v1,2606.20098v1,text-to-audio/music|flow/diffusion,新
2026-06-21,1,paper,mean_audio,Through the PRISM: Preference Representation in Intermediate States of Video Diffusion Models,https://arxiv.org/abs/2606.20310v1,2606.20310v1,text-to-audio/music|evaluation,新
2026-06-21,2,paper,mean_audio,BAFIS: Dataset + Framework to assess occupational Bias and Human Preference in modern Text-to-image Models,https://arxiv.org/abs/2606.20241v1,2606.20241v1,text-to-audio/music|evaluation,新
